read_name,ont_barcode,index_barcode
479b22b9-15f5-4a5b-bb05-6a079a18daff runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4021 ch=126 start_time=2022-06-03T12:50:49Z barcode=bw_000,BC33,000
b2c87aac-0155-4074-86b6-5825bc6d9365 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4395 ch=110 start_time=2022-06-03T12:52:01Z barcode=bw_000,BC33,000
7e0e7822-7229-4e6c-94b4-1e55a85451e6 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5318 ch=81 start_time=2022-06-03T12:51:21Z barcode=bw_000,BC33,000
b4c04f66-fe13-4966-b4ec-99a83a621420 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4649 ch=97 start_time=2022-06-03T12:59:21Z barcode=bw_000,BC33,000
80000e09-c8f9-4f6c-b9ae-526eed9360d1 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4641 ch=97 start_time=2022-06-03T12:59:14Z barcode=bw_000,BC33,000
dc21fb23-811a-4942-a461-757c485fc19c runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=5515 ch=106 start_time=2022-06-03T13:00:05Z barcode=bw_000,BC33,000
ff0185f0-7bce-4e13-aae6-fa17a49c30ff runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4883 ch=122 start_time=2022-06-03T12:59:19Z barcode=bw_000,BC33,000
27ed7e4d-97a3-4692-b13b-f20309396852 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=4863 ch=126 start_time=2022-06-03T13:00:41Z barcode=bw_000,BC33,000
b4c5ee48-50c9-48de-ba98-10aae4ffc1c6 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=13910 ch=108 start_time=2022-06-03T14:30:30Z barcode=bw_000,BC33,000
776646ec-3568-4140-8e12-816d16a7f844 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=13906 ch=122 start_time=2022-06-03T14:30:50Z barcode=bw_000,BC33,000
